;id_labdoc;n_users;durée_écriture;plage_travail;passage_main
1;325259;2;1280.0;215938.0;1
6;325265;2;140.0;351.0;1
8;328216;2;800.0;3577.0;1
12;325263;2;700.0;93798.0;1
14;322170;2;120.0;3238.0;2
16;322179;2;1920.0;77918.0;1
17;321731;2;340.0;91238.0;1
18;322171;2;60.0;3220.0;2
19;322172;2;60.0;2880.0;1
22;316382;2;860.0;130354.00000000001;1
24;322567;2;180.0;295997.0;1
25;322531;2;100.0;6466.0;1
26;323309;4;1780.0;221791.0;4
28;322162;3;520.0;325872.0;3
29;322126;3;620.0;327908.0;2
30;322183;3;1660.0;327741.0;4
31;317354;2;1140.0;325344.0;1
32;322572;4;340.0;192325.0;3
34;322729;3;1080.0;247568.00000000003;3
35;322165;2;580.0;80075.0;1
36;327499;3;2080.0;98007.0;3
37;327522;2;440.0;20932.0;1
39;328490;3;1480.0;35823.0;2
40;327353;3;500.0;84594.0;2
42;327528;3;1040.0;101992.0;2
43;327330;3;580.0;113151.0;3
44;328220;4;780.0;79410.0;3
45;328225;3;1560.0;72124.0;3
46;328271;4;940.0;72697.0;6
47;327526;3;780.0;82281.0;2
49;327500;3;660.0;106099.0;2
51;325849;5;1040.0;460546.0;6
52;331188;2;280.0;110090.0;1
53;325854;2;140.0;169124.0;1
56;325870;3;580.0;173653.0;4
57;321780;2;1800.0;7694.000000000001;1
58;316310;2;200.0;3376.0;1
60;321752;2;460.0;29689.000000000004;2
61;317754;4;1060.0;168481.0;3
66;321947;2;160.0;132916.0;1
68;322342;3;420.0;86334.0;1
69;321944;2;160.0;244748.00000000003;1
71;323318;3;560.0;2158.0;1
72;322343;4;1900.0;95057.0;8
73;317779;2;140.0;33631.0;1
75;317798;2;800.0;541612.0;1
78;323760;2;40.0;747.0;1
79;320957;2;1060.0;359604.0;2
81;314055;3;340.0;536702.0;3
83;317752;4;200.0;257401.00000000003;4
84;323761;2;140.0;1876.0000000000002;2
86;321942;2;80.0;244255.00000000003;1
87;321952;3;1700.0;162139.0;3
90;323316;2;60.0;1943.0000000000002;1
95;322344;3;120.0;92608.0;2
96;320955;2;580.0;346778.0;1
98;323320;2;1080.0;87311.0;2
99;330536;2;400.0;2456.0;1
100;330586;2;2040.0;51381.0;2
101;331093;2;180.0;1359.0;1
102;330661;3;280.0;44180.0;1
103;324573;3;400.0;617275.0;4
104;325875;3;1600.0;533511.0;4
105;324621;4;80.0;89670.0;2
106;329875;2;920.0;198218.0;2
107;325946;4;760.0;578532.0;5
108;324574;2;140.0;391.0;1
109;325913;3;1120.0;579900.0;6
110;324576;3;560.0;351479.0;2
112;325624;2;440.0;113358.0;2
113;325625;3;1180.0;110378.0;1
114;325481;3;460.0;122001.00000000001;3
118;327211;2;640.0;19341.0;1
123;325547;3;1820.0;120133.00000000001;2
126;324034;3;1180.0;4459.0;2
127;312478;2;660.0;353697.0;1
129;317360;2;1080.0;237096.00000000003;1
130;324037;4;460.0;3190.0;2
131;323950;3;1720.0;6586.0;2
135;323571;2;240.0;293797.0;1
136;323580;2;780.0;302144.0;1
141;312706;3;220.0;440952.0;1
145;317487;2;140.0;444887.0;1
146;325941;2;800.0;517722.00000000006;1
151;312506;2;200.0;91020.0;1
157;321804;2;1300.0;365707.0;3
161;328365;2;1280.0;40448.0;2
163;327832;2;480.0;2576.0;1
164;328079;2;320.0;88081.0;2
165;328392;3;380.0;31520.000000000004;1
166;328464;2;960.0;32993.0;4
167;328505;2;1480.0;34325.0;4
170;328728;2;1880.0;22635.0;2
175;316639;3;600.0;4759.0;1
178;316415;3;1280.0;27094.0;2
180;316598;2;900.0;111970.0;1
181;316406;2;1260.0;29924.000000000004;2
182;315968;2;900.0;169210.0;3
185;316491;2;420.0;13195.0;1
186;329936;2;820.0;15076.000000000002;1
