,id_mission,id_report,id_labdoc,id_trace,n_users,teacher,n_tokens,n_segments,eqc,coec
0,453,38523,365902,6514478,1,0,24,1,0.0,0.0
1,453,38523,365897,6511677,1,0,34,3,0.0,0.0
2,453,38523,365897,6512026,1,0,46,4,0.0,0.0
3,453,38523,365918,6501362,1,0,2,2,0.0,0.0
4,453,38523,365918,6502377,1,0,9,3,0.0,0.0
5,453,38523,365918,6502821,1,0,10,4,0.0,0.0
6,453,38523,365918,6503130,1,0,13,5,0.0,0.0
7,453,38523,365918,6503626,1,0,13,5,0.0,0.0
8,453,38523,365918,6505096,1,0,54,7,0.0,0.0
9,453,38523,365918,6507058,2,0,82,10,0.66,0.12
10,453,38523,365918,6507130,2,0,94,11,0.82,0.11
11,453,38523,365962,6516349,1,0,28,1,0.0,0.0
12,453,38523,365829,6474360,1,0,39,2,0.0,0.0
13,453,38523,365829,6474657,1,0,39,2,0.0,0.0
14,453,38523,362157,6503721,1,0,50,3,0.0,0.0
15,453,38523,362078,6408983,1,0,143,10,0.0,0.0
16,453,38555,368460,6588591,1,0,47,3,0.0,0.0
17,453,38555,368467,6592949,1,0,5,1,0.0,0.0
18,453,38555,368467,6593435,1,0,49,3,0.0,0.0
19,453,38555,368459,6586223,1,0,6,1,0.0,0.0
20,453,38555,368459,6588247,1,0,27,1,0.0,0.0
21,453,38555,368459,6590654,1,0,27,1,0.0,0.0
22,453,38555,368452,6582573,1,0,43,1,0.0,0.0
23,453,38555,368452,6583476,1,0,43,1,0.0,0.0
24,453,38555,368491,6597249,1,0,42,4,0.0,0.0
25,453,38555,368491,6597661,1,0,36,4,0.0,0.0
26,453,38555,368417,6544930,1,0,190,9,0.0,0.0
27,453,38555,368417,6544938,1,0,189,8,0.0,0.0
28,453,37526,338199,5809226,1,0,65,4,0.0,0.0
29,453,37526,338199,5810928,1,0,64,4,0.0,0.0
30,453,37526,338002,5801341,1,0,185,8,0.0,0.0
31,453,37526,337724,5791018,1,0,48,3,0.0,0.0
32,453,37526,334690,5738066,1,0,334,15,0.0,0.0
33,453,37526,334690,5790573,2,0,334,15,0.0,0.0
34,453,37526,334690,5802511,2,0,334,15,0.0,0.0
35,453,37526,334690,5804407,2,0,334,15,0.0,0.0
36,453,37526,338018,5802487,1,0,156,8,0.0,0.0
37,453,37526,338018,5802727,1,0,160,10,0.0,0.0
38,453,37526,338018,5804386,1,0,105,9,0.0,0.0
39,453,37526,338018,5804594,1,0,111,10,0.0,0.0
40,453,37526,338018,5804775,1,0,113,11,0.0,0.0
41,453,37526,338018,5804801,1,0,113,12,0.0,0.0
42,453,37526,338018,5805285,1,0,148,16,0.0,0.0
43,453,37526,338018,5805329,1,0,151,16,0.0,0.0
44,453,37526,338206,5809288,1,0,3,1,0.0,0.0
45,453,37526,338206,5809559,1,0,85,4,0.0,0.0
46,453,37526,338171,5807581,1,0,154,6,0.0,0.0
47,453,37526,337839,5798353,1,0,66,4,0.0,0.0
48,453,37526,337839,5799248,1,0,194,6,0.0,0.0
49,453,37526,337839,5799852,1,0,217,8,0.0,0.0
50,453,37526,337839,5800279,1,0,222,8,0.0,0.0
51,453,37558,334745,5731903,1,0,91,7,0.0,0.0
52,453,37558,334745,5733169,1,0,121,8,0.0,0.0
53,453,37558,334745,5734922,1,0,177,11,0.0,0.0
54,453,37558,334745,5734936,1,0,180,11,0.0,0.0
55,453,37558,334745,5735007,1,0,191,12,0.0,0.0
56,453,37558,335623,5734657,1,0,44,3,0.0,0.0
57,453,37558,335623,5735408,1,0,172,7,0.0,0.0
58,453,37558,335623,5735438,1,0,184,8,0.0,0.0
59,453,37558,332871,5667074,1,0,118,6,0.0,0.0
60,453,37558,332871,5667079,1,0,117,5,0.0,0.0
61,453,37558,332871,5670832,2,0,130,5,0.2,0.2
62,453,37558,332871,5672116,2,0,130,5,0.2,0.2
63,453,37558,332871,5709172,2,0,188,7,0.74,0.25
64,453,37558,334731,5721553,1,0,118,5,0.0,0.0
65,453,37558,334731,5722481,2,0,173,7,0.64,0.19
66,453,37558,334731,5722619,2,0,171,7,0.64,0.18
67,453,37558,334731,5724461,2,0,224,10,0.48,0.13
68,453,37558,334731,5724503,2,0,229,10,0.48,0.13
69,453,37558,334731,5725082,2,0,247,11,0.44,0.12
70,453,37558,334749,5730250,1,0,80,4,0.0,0.0
71,453,37558,334749,5735249,2,0,97,6,0.52,0.39
72,453,37558,334740,5723562,1,0,5,1,0.0,0.0
73,453,37558,334740,5724861,1,0,6,2,0.0,0.0
74,453,37558,334740,5725486,1,0,9,8,0.0,0.0
75,453,37558,334740,5726766,2,0,18,9,0.84,0.27
76,453,37558,334740,5729331,3,0,81,8,0.3,0.24
77,453,37558,334740,5729489,3,0,81,8,0.3,0.24
78,453,37558,334740,5733320,3,0,81,8,0.3,0.24
79,453,38558,368235,6534871,1,0,87,7,0.0,0.0
80,453,38558,368235,6536524,1,0,88,8,0.0,0.0
81,453,38558,368235,6546529,2,0,88,8,0.0,0.0
82,453,38558,368278,6538449,1,0,56,4,0.0,0.0
83,453,38558,368658,6596135,1,0,95,2,0.0,0.0
84,453,38558,368526,6547174,1,0,1,1,0.0,0.0
85,453,38558,368632,6586394,1,0,1,1,0.0,0.0
86,453,38558,368632,6586678,1,0,4,1,0.0,0.0
87,453,38558,368632,6586713,1,0,4,1,0.0,0.0
88,453,38558,368632,6588225,1,0,7,1,0.0,0.0
89,453,38558,368639,6591164,1,0,70,3,0.0,0.0
90,453,38558,368525,6547168,1,0,89,3,0.0,0.0
91,453,38558,368617,6582231,1,0,35,1,0.0,0.0
92,453,38558,368617,6582606,1,0,47,5,0.0,0.0
93,453,38558,368617,6582613,1,0,47,5,0.0,0.0
94,453,38558,368617,6587593,1,0,47,5,0.0,0.0
95,453,38558,368231,6534539,1,0,118,2,0.0,0.0
96,453,38558,368231,6546473,2,0,118,2,0.0,0.0
97,453,38558,368243,6536443,1,0,84,7,0.0,0.0
98,453,38558,368243,6546577,2,0,84,7,0.04,0.04
99,453,38558,368499,6546703,1,0,61,3,0.0,0.0
100,453,38558,369879,6586685,1,0,4,1,0.0,0.0
101,453,38558,369879,6586691,1,0,4,1,0.0,0.0
102,453,38558,369879,6586721,1,0,4,1,0.0,0.0
103,453,38558,369879,6587113,1,0,48,3,0.0,0.0
104,453,38558,368229,6534511,1,0,101,2,0.0,0.0
105,453,38558,368229,6546457,2,0,104,2,0.12,0.13
106,453,38558,368351,6541016,1,0,80,5,0.0,0.0
107,453,38558,368351,6550329,1,0,96,6,0.0,0.0
108,453,38558,368619,6583124,1,0,69,2,0.0,0.0
