,id_mission,id_report,id_labdoc,id_trace,n_users,teacher,n_tokens,n_segments,eqc,coec
0,451,35694,323357,5455090,1,0,20,1,0.0,0.0
1,451,35694,323357,5455106,1,0,28,1,0.0,0.0
2,451,35694,323357,5455124,1,0,28,1,0.0,0.0
3,451,35694,323357,5455308,1,0,32,1,0.0,0.0
4,451,35694,323357,5455443,2,0,25,1,0.22,0.22
5,451,35694,323357,5457355,2,0,37,2,0.8,0.15
6,451,35694,323370,5460316,1,0,28,1,0.0,0.0
7,451,35694,323370,5460354,1,0,43,2,0.0,0.0
8,451,35694,323370,5461049,1,0,200,7,0.0,0.0
9,451,35694,323370,5461072,1,0,203,8,0.0,0.0
10,451,35694,323362,5457284,1,0,154,6,0.0,0.0
11,451,35694,323362,5457339,1,0,145,5,0.0,0.0
12,451,35694,323362,5457367,1,0,28,1,0.0,0.0
13,451,35694,323362,5457873,1,0,72,3,0.0,0.0
14,451,35694,323362,5457917,1,0,68,3,0.0,0.0
15,451,35694,323362,5457971,1,0,68,3,0.0,0.0
16,451,35694,323362,5462296,1,0,68,3,0.0,0.0
17,451,35694,323366,5458959,1,0,119,5,0.0,0.0
18,451,35694,323366,5458995,1,0,134,5,0.0,0.0
19,451,35694,323366,5459926,1,0,134,5,0.0,0.0
20,451,35694,323358,5455129,1,0,28,1,0.0,0.0
21,451,35694,323358,5455354,1,0,34,1,0.0,0.0
22,451,35694,323358,5457378,2,0,151,5,0.46,0.0
23,451,35694,323358,5457382,2,0,151,5,0.46,0.0
24,451,35694,323358,5462202,2,0,151,5,0.46,0.0
25,451,35694,323358,5462274,2,0,151,5,0.46,0.0
26,451,35694,323358,5462355,2,0,154,6,0.44,0.0
27,451,35694,323374,5462074,1,0,80,4,0.0,0.0
28,451,36453,324544,5497256,1,0,18,3,0.0,0.0
29,451,36453,324544,5497858,1,0,67,3,0.0,0.0
30,451,36453,324544,5498070,1,0,91,4,0.0,0.0
31,451,36453,324544,5498372,1,0,104,5,0.0,0.0
32,451,36453,324536,5491246,1,0,20,2,0.0,0.0
33,451,36453,324536,5492603,1,0,28,5,0.0,0.0
34,451,36453,324536,5493443,1,0,67,10,0.0,0.0
35,451,36453,324536,5493583,1,0,67,10,0.0,0.0
36,451,36453,324536,5493836,1,0,70,11,0.0,0.0
37,451,36453,324536,5494483,1,0,108,14,0.0,0.0
38,451,36453,324536,5496379,1,0,139,15,0.0,0.0
39,451,36453,324536,5498095,1,0,139,15,0.0,0.0
40,451,36453,324668,5476874,1,0,162,12,0.0,0.0
41,451,36453,324668,5476963,1,0,186,13,0.0,0.0
42,451,36453,324668,5477141,1,0,197,14,0.0,0.0
43,451,36453,324668,5477158,1,0,197,15,0.0,0.0
44,451,36453,324668,5477165,1,0,197,13,0.0,0.0
45,451,36453,324668,5477196,1,0,198,13,0.0,0.0
46,451,36453,324668,5488248,1,0,202,13,0.0,0.0
47,451,36453,324668,5488264,1,0,202,13,0.0,0.0
48,451,36453,324531,5488923,1,0,57,2,0.0,0.0
49,451,36453,324531,5488935,1,0,59,2,0.0,0.0
50,451,36453,324531,5490167,1,0,81,3,0.0,0.0
51,451,36453,324531,5491271,1,0,85,3,0.0,0.0
52,451,36453,324531,5491298,1,0,83,3,0.0,0.0
53,451,36453,324531,5494193,1,0,88,3,0.0,0.0
