,id_mission,id_report,id_labdoc,id_trace,n_users,n_mots,indice_collab,indice_contrib
1,1655,46912,457572,7998870,1,244,0.0,0.0
5,1655,46912,457573,7999307,1,272,0.0,0.0
7,1655,46912,457571,7961374,1,336,0.0,0.0
11,1655,46920,457562,8010069,1,465,0.0,0.0
15,1655,46920,457561,8007887,1,483,0.0,0.0
16,1655,46881,461078,8006401,1,389,0.0,0.0
17,1655,46881,461079,8006680,1,282,0.0,0.0
19,1655,46881,461080,8008961,1,419,0.0,0.0
23,1655,46829,457604,8009167,1,536,0.0,0.0
25,1655,46829,457603,8008482,1,440,0.0,0.0
27,1655,46829,457602,8008668,1,540,0.0,0.0
28,1655,46863,457961,8009099,1,399,0.0,0.0
37,1655,46863,457960,8009107,1,723,0.0,0.0
39,1655,46863,457962,8009946,1,499,0.0,0.0
44,1655,46873,457971,8008557,1,430,0.0,0.0
46,1655,46873,457972,8008550,1,362,0.0,0.0
47,1655,46873,457973,8008544,1,478,0.0,0.0
48,1655,46832,457666,7977268,1,327,0.0,0.0
49,1655,46832,457667,7977474,1,333,0.0,0.0
52,1655,46832,457665,7962345,1,433,0.0,0.0
54,1655,46870,461162,7994605,1,325,0.0,0.0
55,1655,46870,461163,7994992,1,260,0.0,0.0
56,1655,46870,461161,7962120,1,466,0.0,0.0
58,1655,46867,462525,8009840,1,408,0.0,0.0
59,1655,46867,462524,8005583,1,364,0.0,0.0
60,1655,46867,462523,8003078,1,412,0.0,0.0
61,1655,46916,461196,8009346,1,426,0.0,0.0
62,1655,46916,461197,8009441,1,258,0.0,0.0
64,1655,46916,461198,8009695,1,475,0.0,0.0
65,1655,46908,461186,7960497,1,115,0.0,0.0
67,1655,46908,461185,7960763,1,288,0.0,0.0
68,1655,46845,457692,8000869,1,272,0.0,0.0
69,1655,46845,457691,8000864,1,115,0.0,0.0
70,1655,46845,457690,8000873,1,321,0.0,0.0
71,1655,46872,461249,8000798,1,261,0.0,0.0
72,1655,46872,461250,8000833,1,236,0.0,0.0
73,1655,46872,461251,8009683,1,267,0.0,0.0
