,id_labdoc,n_users,n_mots,collab,equi_contrib,n_modif,duree,pass_main
0,313544,3,67,0.0869703151887435,0.08990238335584,13,1934637.0000000002,3
1,325259,2,180,0.6164713332663699,0.9477318577469876,64,215938.0,1
2,313676,3,110,0.0352263577807055,0.0366618839914294,66,1818387.0,1
4,313555,3,152,0.0666780832474707,0.0690331824473388,9,1933760.0000000002,1
5,312700,5,38,0.5551769396426112,0.5551769396426116,18,2278994.0,6
6,325265,2,25,0.2875733333333332,0.321024,7,351.0,1
7,313557,3,68,0.3430881399278586,0.745514941215005,21,1935338.0000000002,2
8,328216,2,106,0.3325581596131801,0.9983161749586852,40,3577.0,1
9,316482,4,176,0.2266917568222236,0.5621811468533849,63,1372524.0,6
10,313542,2,22,0.0,0.9669421487603306,9,692827.0,1
11,312680,3,64,0.0512810086847207,0.0524766945858958,36,1222756.0,2
12,325263,2,104,0.4843301486129267,0.5303155965711683,35,93798.0,1
13,313551,2,24,0.1730746619635507,0.1766117969821673,10,1936206.0000000002,1
14,322170,2,45,0.0352395061728394,0.0352395061728394,6,3238.0,2
15,321729,4,66,0.0,0.0,80,170051.0,5
16,322179,2,247,0.0035787474383966,0.0035955027076556,96,77918.0,1
17,321731,2,46,0.0078871721164211,0.0078895155368777,17,91238.0,1
18,322171,2,42,0.0377324263038548,0.0377324263038548,3,3220.0,2
19,322172,2,35,0.0856997732426307,0.0856997732426303,3,2880.0,1
22,316382,2,155,0.6052773053012767,0.9748362605922122,43,130354.00000000001,1
23,321924,2,910,0.1680742179056965,0.4823182320556154,161,259389.00000000003,3
24,322567,2,78,0.6153846153846154,0.8520710059171598,9,295997.0,1
25,322531,2,36,0.0670069455936366,0.0681897025252744,5,6466.0,1
26,323309,4,208,0.0545953012614576,0.0565906787674331,89,221791.0,4
27,312475,3,88,0.371922077922078,0.7190237603305785,18,2248417.0,2
28,322162,3,90,0.4438085737757556,0.4665360451754121,26,325872.0,3
29,322126,3,197,0.1000068840690267,0.1063116453181296,31,327908.0,2
30,322183,3,171,0.4747322853456391,0.5413144022900493,83,327741.0,4
31,317354,2,130,0.0035133921024029,0.0035133921024029,57,325344.0,1
32,322572,4,178,0.3578809837063437,0.372075735510171,17,192325.0,3
33,312436,2,275,0.0421461813849357,0.044833492521948,59,2246135.0,2
34,322729,3,188,0.0295136424134871,0.3702518064434917,54,247568.00000000003,3
35,322165,2,238,0.1094399623885128,0.1106861456581396,29,80075.0,1
36,327499,3,291,0.3340814759377369,0.9495413616059346,104,98007.0,3
37,327522,2,17,0.1870618069713093,0.1891853156159784,22,20932.0,1
38,327795,3,298,0.0683035195830685,0.4564669888310986,259,101399.0,6
39,328490,3,264,0.0402268262904808,0.0402268262904808,74,35823.0,2
40,327353,3,135,0.16948995303811,0.1979000112544831,25,84594.0,2
41,310967,4,302,0.2900830001151557,0.4522661314727744,155,2602521.0,4
42,327528,3,125,0.1349356275657316,0.7066588415174562,52,101992.0,2
43,327330,3,199,0.2085577932433103,0.8221082931932847,29,113151.0,3
44,328220,4,135,0.3839884462100098,0.6281724091974223,39,79410.0,3
45,328225,3,240,0.0256178700699563,0.0259623539812819,78,72124.0,3
46,328271,4,120,0.4297358413285456,0.6648053788176003,47,72697.0,6
47,327526,3,172,0.2970892411042335,0.2990923670419714,39,82281.0,2
48,310961,4,263,0.1028097024613533,0.1116069481399727,88,2625424.0,8
49,327500,3,96,0.1744431584972816,0.7492444532191894,33,106099.0,2
50,323629,4,169,0.1826675493978845,0.2860834844367277,129,356299.0,5
51,325849,5,107,0.4026475200126321,0.7223636177200989,52,460546.0,6
52,331188,2,44,0.0959999999999999,0.1061157024793389,14,110090.0,1
53,325854,2,28,0.9477551020408164,0.9477551020408164,7,169124.0,1
54,316221,3,129,0.0786249214061992,0.0828035639026331,17,1727357.0,2
55,316760,3,104,0.2056171776915385,0.2200123525844189,21,1373433.0,2
56,325870,3,100,0.0150695949146497,0.0151472931610509,29,173653.0,4
57,321780,2,363,0.3806905589635341,0.812775951868558,90,7694.000000000001,1
58,316310,2,34,0.944636678200692,0.944636678200692,10,3376.0,1
59,317796,2,151,0.0469879549848217,0.0494108716262716,2,719826.0,1
60,321752,2,69,0.7605150645289271,0.7605150645289271,23,29689.000000000004,2
61,317754,4,295,0.2568781620006884,0.6195043283979526,53,168481.0,3
62,312451,4,246,0.3077216939708448,0.3423146597386374,77,987972.0000000001,4
63,317694,3,68,0.1774075815745699,0.738683235353983,11,787776.0,2
