L'équilibre de .. ;L'indice de co-.. ;L'équilibre de .. ;L'indice de co-.. ;L'équilibre de .. ;L'indice de co-.. ;L'équilibre de .. ;L'indice de co-.. ;L'équilibre de .. ;L'indice de co-.. ;L'équilibre de .. ;L'indice de co-.. ;L'équilibre de .. ;L'indice de co-.. ;L'équilibre de .. ;L'indice de co-.. ;L'équilibre de .. ;L'indice de co-.. ;L'équilibre de .. ;L'indice de co-.. ;L'équilibre de .. ;L'indice de co-.. ;L'équilibre de .. ;L'indice de co-.. 
0.8;0.8;0.6;0;1;1;0.8;0.2;0.1;0.2;0.6;0.6;0.3;0;0.7;0.4;0.2;0.2;0.4;0;0.1;0;0.1;0.2
0.8;0.8;0.7;0;1;1;1;0.5;0.2;0.3;1;0.5;0.15;0;0.5;0.7;0.3;0.2;0.5;0;0.1;0;0.1;0.2
0.7;0.9;0.6;0;0.7;1;0.9;0.8;0.1;0.9;1;0.7;0.3;0;0.9;0.8;0.4;0.2;0.7;0;0.2;0;0.2;0.3
0.6;0.6;0.67;0.1;1;1;0.75;0.5;0.2;0.1;0.8;0.33;0.25;0;0.75;0.67;0.25;0.2;0.5;0.1;0.1;0;0.1;0.1
1;1;1;0;1;1;1;0.5;0.3;0.3;1;0.7;0.1;0;0.9;0.7;0.3;0.3;0.7;0;0.2;0;0.1;0.1
0.6;0.5;0.8;0;0.9;0.8;0.8;0.5;0.15;0.1;0.95;0.2;0.3;0;0.8;0.6;0.4;0.35;0.7;0.01;0.1;0;0.2;0.1
1;1;1;0;1;1;1;0.5;0.1;0.1;1;0.25;0.25;0;0.8;0.5;0.1;0.1;0.5;0;0.05;0;0.05;0.05
0.6;0.5;0.8;0.05;0.65;0.65;0.75;0.15;0.05;0.05;1;0.1;0.2;0;0.6;0.5;0.15;0.05;0.7;0;0.1;0;0.05;0.05
0.5;0.5;0.4;0.39;0.5;0.49;0.5;0.49;0.1;0.01;0.5;0.49;0.3;0.29;0.4;0.35;0.1;0.05;0.3;0.25;0.1;0.09;0.05;0.04
0.6;0.3;0.6;0.3;1;1;1;1;0.1;0.1;1;0.5;0.5;0;0.9;0.8;0.2;0.2;0.5;0;0.1;0;0.2;0.1
0.85;1;0.8;0.1;1;1;1;0.5;0.2;0.5;1;0.5;0.2;0;0.8;0.7;0.2;0.2;0.4;0;0.1;0;0.1;0.1
1;1;1;0.1;1;1;1;0.3;0.2;0.1;1;0.2;0.2;0;0.5;0.3;0.2;0.1;0.6;0.1;0.2;0;0.2;0.1
0.5;0.5;1;0.1;1;1;1;0.5;0.1;1;1;0.5;0.1;0;1;1;0.3;0.5;0.8;0;0.1;0;0.1;0.3
0.6;0.4;0.7;0.5;0.2;0.1;0.5;0.4;0.1;0;0.7;0.6;0.2;0.1;0.8;0.7;0.1;0;0.4;0.3;0;0;0;0
0.8;1;0.8;0;1;1;1;0.2;0.1;0.1;1;0.3;0.1;0;0.7;0.7;0.2;0.2;0.7;0;0.1;0;0.2;0.1
